         N_1         491520         324480         232320         192000          12880          81120          58080          48000          30720          20280          14520
         N_2         324480         232320         192000          12880          81120          58080          48000          30720          20280          14520          12000
         N_3         232320         192000          12880          81120          58080          48000          30720          20280          14520          12000           7680
        r_21     1.23100000     1.18196588     1.09965636     1.25000000     1.23100000     1.18155971     1.10003438     1.25000000     1.23075000     1.18179972     1.10003438
        r_32     1.18196588     1.09965636     1.25000000     1.23100000     1.18155971     1.10003438     1.25000000     1.23075000     1.18179972     1.10003438     1.25000000
       Fai_1     2.88033875     2.87957065     2.87878227     2.87821975     2.87657695     2.87450066     2.87230615     2.87080368     2.86637076     2.86076402     2.85479077
       Fai_2     2.87957065     2.87878227     2.87821975     2.87657695     2.87450066     2.87230615     2.87080368     2.86637076     2.86076402     2.85479077     2.85090582
       Fai_3     2.87878227     2.87821975     2.87657695     2.87450066     2.87230615     2.87080368     2.86637076     2.86076402     2.85479077     2.85090582     2.84392945
       Fai_0     2.88280316     2.88188221     2.88289502     2.88262855     2.88236130     2.88290944     2.88257265     2.88261645     2.88163553     2.89357285    12.99902667
       Alpha    -0.00246441    -0.00160499    -0.00247943    -0.00226258    -0.00207966    -0.00240366    -0.00222378    -0.00224390    -0.00189032    -0.00665029   -10.08566993
           P     1.30544473     1.75535004     1.34947046     1.41935025     1.47580826     1.38992075     1.43253849     1.42798870     1.50675149     1.00132944     0.00330425
    Delta_RE    -0.00323251    -0.00309994    -0.00467527    -0.00605160    -0.00786064    -0.01060328    -0.01176897    -0.01624570    -0.02087151    -0.03878208   -10.14772222
  Error_a_21     0.00026667     0.00027378     0.00019540     0.00057077     0.00072179     0.00076344     0.00052309     0.00154414     0.00195604     0.00208799     0.00136085
Error_ext_21     0.00085487     0.00080210     0.00142660     0.00152944     0.00200681     0.00291677     0.00356158     0.00409794     0.00529726     0.01133852     0.78038427
